Policy_Scenario,LCP_scenario,year,unit,Electricity,Refining,Gas & Hydrogen,Final energy,BECCS: Residue & MSW,BECCS: Purpose-grown,LULUCF
Low-Bioenergy,10%-LCP,2080,GtCO2 per yr,1.9040211634299151,0.7815650425684126,0.6072437910129385,6.415241081714334,-2.562210269209578,-1.7836041698848482,-0.9969144993868747
Low-Bioenergy,10%-LCP,2085,GtCO2 per yr,1.827360800852377,0.724866780650899,0.5526885119743731,4.9324003933251115,-2.772858023931217,-1.933487527695151,-1.3390159341921806
Low-Bioenergy,10%-LCP,2090,GtCO2 per yr,1.7252639292308443,0.6497200199003155,0.4799665882717628,3.605342526812713,-2.9810429784607133,-2.090086972742349,-1.7410899631278118
Low-Bioenergy,10%-LCP,2095,GtCO2 per yr,1.6260988360195021,0.5644083292725889,0.40460294802720065,2.44575266835614,-3.1684906662145145,-2.2333892472566976,-1.9282081445901105
Low-Bioenergy,10%-LCP,2100,GtCO2 per yr,1.5049224371859673,0.4703536639073603,0.34040610309028096,1.4100806519368072,-3.3350593470274883,-2.385719000810194,-2.178168979298627
Low-Bioenergy,50%-LCP,2020,GtCO2 per yr,12.965842978884654,1.0624327452880395,0.11959507278517331,24.35244458397764,-1.159679125e-5,0,0.7327795222751293
Low-Bioenergy,50%-LCP,2025,GtCO2 per yr,11.66579047072259,1.073077466919666,0.051842979099080755,23.47007101140997,-0.018208399078654878,-0.005691880382784452,-0.7630141585787029
Low-Bioenergy,50%-LCP,2030,GtCO2 per yr,8.300249734373624,1.054555528658531,0.10535137351145152,22.22877682215185,-0.11359231206592214,-0.04415596933790817,-3.1809442380082364
Low-Bioenergy,50%-LCP,2035,GtCO2 per yr,5.247494685217306,1.0151137612097243,0.18318579122971107,20.185420720651017,-0.2938954137585139,-0.13014554597935038,-3.3950827787703157
Low-Bioenergy,50%-LCP,2040,GtCO2 per yr,3.913771360203989,0.9974630577998135,0.27321988130619534,18.46344001740197,-0.4624276817916595,-0.2451749593517568,-2.501866128028813
Low-Bioenergy,50%-LCP,2045,GtCO2 per yr,2.95679584557095,0.9683201785197486,0.3805266784951353,17.22682050718221,-0.6428928380323761,-0.38727004889680006,-1.975888787751629
Low-Bioenergy,50%-LCP,2050,GtCO2 per yr,2.48803675322215,0.9109965720457961,0.4673285500058045,16.09891428951991,-0.8184384648485007,-0.5453403084603083,-1.782977288927041
Low-Bioenergy,50%-LCP,2055,GtCO2 per yr,2.229005806407333,0.8656436220794255,0.5290516817082094,15.094916610114874,-1.0662435168538795,-0.6813751529358417,-1.7059661754120676
Low-Bioenergy,50%-LCP,2060,GtCO2 per yr,2.0714023892265168,0.8343117166189875,0.5768391333544777,13.954188198493277,-1.3630653816026035,-0.8408650519975668,-1.7729094915196317
Low-Bioenergy,50%-LCP,2065,GtCO2 per yr,1.9845710770835285,0.8320023347577185,0.620675022834204,12.637332761004844,-1.6928985761298176,-1.0110780980370195,-1.989678232253583
Low-Bioenergy,50%-LCP,2070,GtCO2 per yr,1.9667655445416483,0.9106448095775116,0.6526997476933831,11.32994259447754,-2.040912269421758,-1.1761190468505018,-1.8716994935048297
Low-Bioenergy,50%-LCP,2075,GtCO2 per yr,1.9463216641584813,0.9844578435055145,0.6739570198222632,9.837314934188514,-2.378036735424857,-1.3222516725953632,-2.109009520102474
Low-Bioenergy,50%-LCP,2080,GtCO2 per yr,1.927211571095052,0.9734729915891123,0.6687918883699422,8.198374118823908,-2.679845909043268,-1.4345559084053643,-2.1654563979754684
Low-Bioenergy,50%-LCP,2085,GtCO2 per yr,1.870702378266377,0.9072575750114678,0.6343882433017098,6.508350169694538,-2.956857761085439,-1.5360530159706927,-2.0708285987668007
Low-Bioenergy,50%-LCP,2090,GtCO2 per yr,1.779455484546654,0.8267777786547992,0.573329424610756,5.063896738743145,-3.2004217322500383,-1.701272870987159,-2.6043256128695407
Low-Bioenergy,50%-LCP,2095,GtCO2 per yr,1.6879828832626658,0.7360397844641715,0.49214107745255714,3.7965108739184945,-3.3877948207629394,-1.8917857808601928,-2.6556034012804366
Low-Bioenergy,50%-LCP,2100,GtCO2 per yr,1.574898532617314,0.6327514144496202,0.41092205386637926,2.657512296392712,-3.5415037487246344,-2.096596567076661,-2.6939523983717035
Low-Bioenergy,100%-LCP,2020,GtCO2 per yr,12.965849422462924,1.0624337223691798,0.1195948877563183,24.352448455196086,-1.1596790883333333e-5,0,0.73277955733694
Low-Bioenergy,100%-LCP,2025,GtCO2 per yr,11.820487669756453,1.0759125185644185,0.057978417761235745,23.555775915860597,-0.016207919892150455,-0.00452923428868421,-2.1925552354171827
